"","Tissue","ER.model","ADR.model","SYM.model"
"1","pericycle",61.7454428228826,37.7618204092833,61.7454428228826
"2","cortex",59.7921577959134,39.4875441262606,59.7921577959134
"3","primary.phloem",49.7489359130961,33.7702059012337,49.7489359130961
"4","secondary.phloem",45.2921483180866,33.5489633657603,45.2921483180866
"5","secondary.xylem",24.5926843725788,18.8855567656444,24.5926843725788
"6","pith",52.9533140498844,39.0171079590601,52.9533140498844
